Nombre,Plataforma,Lanzamiento,Genero,V_NA,V_EU,V_JP,V_Otros,V_Global,Score,ESRB,Exito
NHL 09,X360,2008,Sports,0.45,0.01,0.0,0.04,0.5,88.0,E10+,0
Tomb Raider: Underworld,DS,2008,Action,0.15,0.02,0.0,0.01,0.19,70.0,T,0
Wall-E,X360,2008,Platform,0.29,0.26,0.0,0.07,0.62,50.0,E,0
CrossworDS,DS,2008,Puzzle,0.5,0.0,0.0,0.04,0.55,67.0,E,0
You're in the Movies,X360,2008,Misc,0.27,0.17,0.0,0.05,0.48,55.0,E,0
Far Cry 2,PC,2008,Action,0.01,0.45,0.0,0.03,0.48,85.0,M,0
Alone in the Dark,X360,2008,Adventure,0.14,0.3,0.0,0.05,0.48,58.0,M,0
FIFA Soccer 09,DS,2008,Sports,0.12,0.31,0.0,0.06,0.49,84.0,E,0
Sniper: Art of Victory,PC,2008,Shooter,0.0,0.45,0.0,0.03,0.49,36.0,M,0
Top Spin 3,X360,2008,Action,0.09,0.4,0.0,0.07,0.56,78.0,E,0
Sega Superstars Tennis,X360,2008,Sports,1.75,0.86,0.0,0.28,2.89,67.0,E10+,1
Star Wars The Clone Wars: Jedi Alliance,DS,2008,Action,0.61,0.11,0.0,0.06,0.78,68.0,E10+,0
Sid Meier's Civilization Revolution,PS3,2008,Strategy,0.49,0.19,0.01,0.09,0.78,85.0,E10+,0
Dragon Ball Z: Burst Limit,X360,2008,Fighting,0.24,0.18,0.03,0.05,0.49,72.0,T,0
Fallout 3,X360,2008,Role-Playing,3.4,0.99,0.09,0.45,4.93,93.0,M,1
Viva Pinata: Pocket Paradise,DS,2008,Simulation,0.26,0.23,0.0,0.06,0.55,82.0,E,0
Lips,X360,2008,Misc,0.12,0.56,0.0,0.1,0.77,71.0,T,0
Record of Agarest War,X360,2008,Role-Playing,0.18,0.0,0.01,0.01,0.2,71.0,T,0
Iron Man,PS2,2008,Action,0.36,0.0,0.0,0.19,0.54,47.0,T,0
Call of Duty: World at War,PS3,2008,Shooter,2.73,1.83,0.0,0.83,5.39,85.0,M,1
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,0.47,0.55,4.13,0.34,5.48,81.0,T,1
Nostalgia,DS,2008,Role-Playing,0.16,0.0,0.02,0.01,0.19,72.0,E10+,0
Afrika,PS3,2008,Adventure,0.12,0.0,0.08,0.01,0.22,63.0,E10+,0
KORG DS-10 Synthesizer,DS,2008,Misc,0.19,0.01,0.0,0.02,0.22,82.0,E,0
Conflict: Denied Ops,PS3,2008,Shooter,0.05,0.1,0.0,0.03,0.19,51.0,M,0
Mario Kart Wii,Wii,2008,Racing,15.68,12.76,3.79,3.29,35.52,82.0,E,1
Mana Khemia 2: Fall of Alchemy,PS2,2008,Role-Playing,0.07,0.05,0.05,0.02,0.2,70.0,T,0
The Last Remnant,X360,2008,Role-Playing,0.25,0.2,0.18,0.06,0.68,66.0,M,0
The Sims 2: Apartment Pets,DS,2008,Simulation,0.31,0.3,0.0,0.07,0.69,50.0,E,0
Frontlines: Fuel of War,X360,2008,Shooter,0.34,0.15,0.01,0.05,0.56,75.0,T,0
Iron Man,PS3,2008,Action,0.32,0.25,0.0,0.11,0.68,42.0,T,0
NBA 2K9,PS3,2008,Sports,0.56,0.0,0.0,0.05,0.61,82.0,E,0
Bleach: The 3rd Phantom,DS,2008,Role-Playing,0.1,0.02,0.07,0.01,0.2,59.0,T,0
Major League Baseball 2K8,X360,2008,Sports,0.56,0.0,0.0,0.05,0.61,70.0,E,0
Too Human,X360,2008,Role-Playing,0.38,0.29,0.03,0.08,0.78,65.0,T,0
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,0.49,0.02,0.0,0.04,0.55,47.0,E,0
Dark Sector,X360,2008,Shooter,0.22,0.2,0.01,0.05,0.48,72.0,M,0
MLB 08: The Show,PS3,2008,Sports,0.64,0.0,0.0,0.05,0.7,85.0,E,0
Baja: Edge of Control,X360,2008,Racing,0.12,0.06,0.0,0.02,0.2,65.0,E,0
Infinite Undiscovery,X360,2008,Role-Playing,0.34,0.18,0.12,0.06,0.7,68.0,T,0
Bolt,Wii,2008,Adventure,0.19,0.31,0.0,0.06,0.56,50.0,E10+,0
Okami,Wii,2008,Action,0.43,0.09,0.04,0.05,0.6,90.0,T,0
Kirby Super Star Ultra,DS,2008,Platform,1.55,0.04,1.19,0.15,2.92,76.0,E,1
Need for Speed: ProStreet,PSP,2008,Racing,0.24,0.33,0.01,0.19,0.77,57.0,E,0
NBA Live 09,X360,2008,Sports,0.5,0.14,0.0,0.07,0.71,77.0,E,0
Madden NFL 09,PSP,2008,Sports,0.65,0.0,0.0,0.06,0.71,68.0,E,0
Personal Trainer: Walking,DS,2008,Sports,0.21,0.32,0.17,0.07,0.76,69.0,E,0
Sonic Unleashed,PS2,2008,Platform,0.37,0.04,0.0,0.36,0.76,66.0,E10+,0
Sega Bass Fishing,Wii,2008,Sports,0.45,0.01,0.0,0.04,0.5,59.0,E,0
Need For Speed: Undercover,PSP,2008,Racing,0.23,0.31,0.03,0.19,0.76,52.0,T,0
Animal Crossing: City Folk,Wii,2008,Simulation,1.82,1.12,1.32,0.36,4.62,73.0,E,1
The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,0.34,0.17,0.0,0.05,0.56,64.0,E10+,0
Grand Theft Auto IV,X360,2008,Action,6.76,3.07,0.14,1.03,11.01,98.0,M,1
Mass Effect,PC,2008,Role-Playing,0.0,0.59,0.0,0.08,0.67,89.0,M,0
Turok,PS3,2008,Action,0.35,0.21,0.01,0.1,0.67,67.0,M,0
Monopoly,X360,2008,Misc,0.34,0.2,0.0,0.06,0.59,56.0,E,0
Dead Space,PC,2008,Action,0.0,0.53,0.0,0.06,0.59,86.0,M,0
Dark Sector,PS3,2008,Shooter,0.23,0.16,0.01,0.07,0.47,72.0,M,0
LittleBigPlanet,PS3,2008,Platform,2.8,1.98,0.17,0.87,5.82,95.0,E,1
NCAA Football 09,X360,2008,Sports,0.65,0.0,0.0,0.05,0.71,83.0,E,0
Dynasty Warriors: Gundam 2,PS3,2008,Action,0.09,0.06,0.32,0.03,0.49,54.0,T,0
Tales of Symphonia: Dawn of the New World,Wii,2008,Role-Playing,0.21,0.04,0.24,0.02,0.52,68.0,T,0
Super Smash Bros. Brawl,Wii,2008,Fighting,6.62,2.55,2.66,1.01,12.84,93.0,T,1
Armored Core: For Answer,PS3,2008,Simulation,0.06,0.02,0.1,0.01,0.19,62.0,T,0
Bakugan: Battle Brawlers,Wii,2009,Action,0.59,0.03,0.0,0.05,0.66,62.0,E,0
NBA 10: The Inside,PSP,2009,Sports,0.07,0.0,0.0,0.01,0.08,69.0,E,0
DiRT 2,Wii,2009,Racing,0.1,0.22,0.0,0.04,0.37,51.0,E10+,0
DJ Hero,X360,2009,Misc,0.56,0.39,0.0,0.11,1.06,84.0,T,1
The King of Fighters XII,X360,2009,Fighting,0.09,0.0,0.01,0.01,0.11,63.0,T,0
Trivial Pursuit,Wii,2009,Misc,0.2,0.3,0.0,0.07,0.57,67.0,E,0
Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,0.33,0.0,0.0,0.03,0.35,67.0,E10+,0
Tornado Outbreak,X360,2009,Action,0.07,0.0,0.0,0.01,0.08,62.0,E10+,0
Up,Wii,2009,Action,0.22,0.28,0.0,0.06,0.56,62.0,E10+,0
MotorStorm: Arctic Edge,PSP,2009,Racing,0.16,0.57,0.0,0.29,1.02,79.0,T,1
FIFA Soccer 10,PC,2009,Sports,0.0,0.04,0.0,0.01,0.05,72.0,E,0
Mini Ninjas,Wii,2009,Action,0.16,0.16,0.0,0.04,0.37,79.0,E10+,0
Damnation,X360,2009,Shooter,0.06,0.01,0.0,0.01,0.07,36.0,M,0
The Hardy Boys: Treasure on the Tracks,DS,2009,Adventure,0.1,0.0,0.0,0.01,0.11,65.0,E,0
Virtua Tennis 2009,Wii,2009,Sports,0.12,0.21,0.0,0.04,0.37,73.0,E,0
The Conduit,Wii,2009,Shooter,0.28,0.23,0.0,0.06,0.57,69.0,T,0
WWE SmackDown vs. Raw 2010,X360,2009,Fighting,0.56,0.37,0.01,0.1,1.04,80.0,T,1
Empire: Total War,PC,2009,Strategy,0.01,0.97,0.0,0.1,1.08,90.0,T,1
ShellShock 2: Blood Trails,PS3,2009,Shooter,0.04,0.03,0.0,0.01,0.08,35.0,M,0
Football Manager 2010,PC,2009,Sports,0.0,0.06,0.0,0.01,0.07,87.0,E,0
Skate 2,X360,2009,Sports,0.82,0.17,0.01,0.09,1.09,84.0,T,1
Terminator Salvation,X360,2009,Shooter,0.13,0.18,0.0,0.04,0.35,48.0,T,0
3D Dot Game Heroes,PS3,2009,Role-Playing,0.36,0.11,0.03,0.07,0.57,77.0,E10+,0
BlazBlue: Calamity Trigger,PS3,2009,Fighting,0.36,0.1,0.06,0.06,0.57,87.0,T,0
Overlord: Dark Legend,Wii,2009,Action,0.11,0.22,0.0,0.04,0.37,68.0,T,0
Where the Wild Things Are,Wii,2009,Platform,0.11,0.0,0.0,0.01,0.12,65.0,E10+,0
NHL 10,X360,2009,Sports,0.51,0.1,0.0,0.06,0.66,88.0,E10+,0
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,0.28,0.49,0.03,0.27,1.06,90.0,M,1
Resident Evil: The Darkside Chronicles,Wii,2009,Action,0.46,0.31,0.2,0.09,1.05,75.0,M,1
Tenchu: Shadow Assassins,PSP,2009,Action,0.03,0.02,0.05,0.01,0.11,68.0,M,0
Football Manager Handheld 2010,PSP,2009,Sports,0.0,0.26,0.0,0.09,0.35,69.0,E,0
MLB Front Office Manager,X360,2009,Sports,0.06,0.0,0.0,0.01,0.07,47.0,E,0
Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,0.12,0.02,0.21,0.01,0.36,73.0,E10+,0
MySims Agents,DS,2009,Adventure,0.54,0.42,0.0,0.11,1.07,60.0,E,1
Guitar Hero: Smash Hits,PS3,2009,Misc,0.2,0.11,0.0,0.05,0.35,73.0,T,0
MySims Agents,Wii,2009,Adventure,0.61,0.32,0.0,0.1,1.03,78.0,E,1
LEGO Rock Band,X360,2009,Misc,0.4,0.11,0.0,0.05,0.56,71.0,E10+,0
Wanted: Weapons of Fate,X360,2009,Shooter,0.17,0.15,0.0,0.04,0.37,62.0,M,0
Coraline,PS2,2009,Action,0.06,0.04,0.0,0.01,0.11,39.0,E10+,0
SAW,PS3,2009,Action,0.13,0.17,0.0,0.06,0.36,59.0,M,0
Moon,DS,2009,Adventure,0.04,0.0,0.0,0.0,0.05,71.0,T,0
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,0.16,0.12,0.06,0.03,0.36,67.0,T,0
NHL 2K10,Wii,2009,Sports,0.32,0.01,0.0,0.03,0.35,79.0,E10+,0
A Witch's Tale,DS,2009,Role-Playing,0.08,0.0,0.03,0.01,0.11,50.0,E10+,0
NHL 10,PS3,2009,Sports,0.38,0.12,0.0,0.07,0.57,88.0,E10+,0
Tom Clancy's HAWX,PS3,2009,Action,0.21,0.22,0.05,0.09,0.56,74.0,T,0
BlazBlue: Calamity Trigger,X360,2009,Fighting,0.21,0.08,0.04,0.03,0.36,86.0,T,0
Left 4 Dead 2,PC,2009,Shooter,0.0,0.32,0.0,0.04,0.36,89.0,M,0
Marvel Super Hero Squad,Wii,2009,Fighting,0.3,0.03,0.0,0.03,0.36,49.0,E10+,0
Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,0.13,0.03,0.0,0.02,0.19,67.0,E10+,0
Bionic Commando,PS3,2009,Platform,0.12,0.17,0.01,0.06,0.36,71.0,M,0
Tiger Woods PGA Tour 10,Wii,2009,Sports,0.6,0.36,0.0,0.11,1.07,88.0,E,1
Dynasty Warriors 6 Empires,PS3,2009,Action,0.14,0.03,0.15,0.02,0.34,62.0,T,0
The Sims 3: World Adventures,PC,2009,Simulation,0.02,0.18,0.0,0.38,0.57,81.0,T,0
Overlord II,X360,2009,Action,0.15,0.14,0.0,0.03,0.32,75.0,T,0
Muramasa: The Demon Blade,Wii,2009,Role-Playing,0.32,0.12,0.11,0.04,0.6,81.0,T,0
Torchlight,PC,2009,Role-Playing,0.0,0.06,0.0,0.01,0.07,83.0,T,0
[Prototype],PS3,2009,Action,0.65,0.4,0.0,0.19,1.24,79.0,M,1
Ghostbusters: The Video Game,X360,2009,Action,0.43,0.14,0.0,0.06,0.63,79.0,T,0
Rogue Trooper: Quartz Zone Massacre,Wii,2009,Shooter,0.06,0.0,0.0,0.01,0.07,70.0,T,0
Assassin's Creed: Bloodlines,PSP,2009,Action,0.43,0.47,0.05,0.28,1.23,63.0,M,1
Company of Heroes: Tales of Valor,PC,2009,Strategy,0.0,0.03,0.0,0.01,0.04,70.0,M,0
F.E.A.R. 2: Project Origin,PC,2009,Shooter,0.02,0.05,0.0,0.01,0.07,79.0,M,0
Eat Lead: The Return of Matt Hazard,X360,2009,Shooter,0.1,0.01,0.0,0.01,0.12,53.0,T,0
Ultimate Duck Hunting,Wii,2009,Sports,0.07,0.0,0.0,0.01,0.08,28.0,T,0
Karaoke Revolution,X360,2009,Misc,0.12,0.0,0.0,0.01,0.12,62.0,T,0
Blood Bowl,PC,2009,Sports,0.02,0.02,0.0,0.0,0.04,72.0,T,0
Tony Hawk: RIDE,PS3,2009,Sports,0.38,0.14,0.0,0.07,0.59,44.0,E10+,0
Battlestations: Pacific,X360,2009,Strategy,0.17,0.11,0.01,0.03,0.32,76.0,T,0
NCAA Basketball 10,X360,2009,Sports,0.3,0.0,0.0,0.02,0.32,75.0,E,0
Ice Age: Dawn of the Dinosaurs,X360,2009,Action,0.09,0.02,0.0,0.01,0.12,68.0,E10+,0
Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,0.18,0.06,0.34,0.05,0.63,89.0,M,0
Bayonetta,PS3,2009,Action,0.44,0.39,0.21,0.16,1.21,87.0,M,1
Wolfenstein,PS3,2009,Shooter,0.25,0.27,0.0,0.11,0.63,71.0,M,0
MLB Front Office Manager,PS3,2009,Sports,0.07,0.0,0.0,0.01,0.08,49.0,E,0
Harry Potter and the Half-Blood Prince,PS3,2009,Action,0.15,0.12,0.0,0.05,0.33,66.0,E10+,0
Marvel: Ultimate Alliance 2,Wii,2009,Role-Playing,0.25,0.05,0.0,0.03,0.32,50.0,T,0
C.O.P.: The Recruit,DS,2009,Action,0.05,0.02,0.0,0.01,0.08,55.0,T,0
Batman: Arkham Asylum,PC,2009,Action,0.0,0.28,0.0,0.05,0.32,91.0,T,0
Call of Juarez: Bound in Blood,X360,2009,Shooter,0.3,0.24,0.0,0.06,0.6,77.0,M,0
Astro Boy: The Video Game,PSP,2009,Action,0.04,0.0,0.0,0.0,0.04,60.0,E10+,0
Harry Potter and the Half-Blood Prince,X360,2009,Action,0.17,0.11,0.0,0.03,0.31,64.0,E10+,0
Overlord II,PS3,2009,Action,0.11,0.15,0.0,0.06,0.32,72.0,T,0
Jak and Daxter: The Lost Frontier,PSP,2009,Platform,0.18,0.27,0.0,0.15,0.61,71.0,E10+,0
Wet,PS3,2009,Shooter,0.22,0.27,0.01,0.11,0.61,70.0,M,0
The Chase: Felix Meets Felicity,DS,2009,Action,0.04,0.0,0.0,0.0,0.04,59.0,E,0
Tony Hawk: RIDE,X360,2009,Sports,0.46,0.1,0.0,0.05,0.61,46.0,E10+,0
Tekken 6,PSP,2009,Fighting,0.15,0.03,0.1,0.03,0.32,82.0,T,0
DJ Hero,PS2,2009,Misc,0.1,0.02,0.0,0.2,0.32,87.0,T,0
Sacred 2: Fallen Angel,PS3,2009,Role-Playing,0.22,0.22,0.08,0.09,0.61,70.0,M,0
The Biggest Loser,DS,2009,Sports,0.18,0.11,0.0,0.03,0.32,63.0,E,0
Jurassic: The Hunted,X360,2009,Shooter,0.12,0.0,0.0,0.01,0.13,60.0,T,0
Major League Baseball 2K9,X360,2009,Sports,0.56,0.0,0.0,0.05,0.61,64.0,E,0
Metal Slug XX,PSP,2009,Shooter,0.03,0.0,0.0,0.0,0.04,67.0,T,0
Harry Potter and the Half-Blood Prince,DS,2009,Action,0.2,0.34,0.0,0.07,0.61,48.0,E,0
Infernal: Hell's Vengeance,X360,2009,Shooter,0.06,0.01,0.0,0.01,0.08,35.0,M,0
MySims Racing,DS,2009,Racing,0.25,0.29,0.0,0.07,0.61,67.0,E,0
DiRT 2,PSP,2009,Racing,0.09,0.15,0.0,0.08,0.32,55.0,E10+,0
Guitar Hero: Metallica,PS3,2009,Misc,0.28,0.24,0.0,0.1,0.62,86.0,T,0
Secret Agent Clank,PS2,2009,Platform,0.13,0.18,0.0,0.29,0.6,61.0,E10+,0
Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009,Action,0.12,0.0,0.0,0.01,0.13,36.0,E10+,0
Cate West: The Vanishing Files,Wii,2009,Adventure,0.07,0.0,0.0,0.01,0.08,65.0,E10+,0
LEGO Battles,DS,2009,Strategy,0.77,0.37,0.0,0.11,1.25,65.0,E,1
LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Action,0.65,0.42,0.0,0.11,1.18,59.0,E,1
Sonic and the Black Knight,Wii,2009,Platform,0.64,0.34,0.01,0.1,1.09,54.0,E10+,1
PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,0.53,0.16,0.42,0.06,1.17,62.0,E,1
Mytran Wars,PSP,2009,Strategy,0.08,0.02,0.0,0.02,0.12,68.0,T,0
Puzzle Kingdoms,Wii,2009,Puzzle,0.11,0.0,0.0,0.01,0.12,63.0,E,0
Runaway: A Twist of Fate,PC,2009,Adventure,0.0,0.04,0.0,0.01,0.04,79.0,T,0
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,0.13,0.2,0.0,0.04,0.37,70.0,E10+,0
Guitar Hero 5,X360,2009,Misc,0.65,0.37,0.0,0.11,1.13,85.0,T,1
Rabbids Go Home,Wii,2009,Platform,0.25,0.74,0.0,0.14,1.12,78.0,E10+,1
Speed Zone,Wii,2009,Racing,0.01,0.05,0.0,0.01,0.07,37.0,E,0
Drawn to Life: The Next Chapter,DS,2009,Puzzle,0.44,0.14,0.0,0.06,0.64,72.0,E,0
Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,0.22,0.1,0.23,0.03,0.58,71.0,E10+,0
Tropico 3,PC,2009,Strategy,0.0,0.04,0.0,0.01,0.04,79.0,T,0
MotorStorm: Arctic Edge,PS2,2009,Racing,0.07,0.03,0.0,0.25,0.34,72.0,T,0
Monster Racers,DS,2009,Racing,0.05,0.0,0.02,0.0,0.07,70.0,E,0
Mini Ninjas,DS,2009,Action,0.16,0.15,0.0,0.04,0.34,61.0,E10+,0
Mini Ninjas,PS3,2009,Action,0.14,0.15,0.0,0.06,0.34,73.0,E10+,0
Yakuza 3,PS3,2009,Action,0.21,0.2,0.62,0.08,1.12,79.0,M,1
The Beatles: Rock Band,PS3,2009,Misc,0.67,0.29,0.0,0.15,1.12,88.0,T,1
Peggle: Dual Shot,DS,2009,Puzzle,0.11,0.0,0.0,0.01,0.12,84.0,E,0
Tiger Woods PGA Tour 10,X360,2009,Sports,0.39,0.2,0.0,0.06,0.65,80.0,E,0
SimAnimals Africa,Wii,2009,Simulation,0.1,0.01,0.0,0.01,0.12,53.0,E,0
Guitar Hero 5,PS3,2009,Misc,0.53,0.39,0.0,0.17,1.09,86.0,T,1
Wolfenstein,PC,2009,Shooter,0.01,0.03,0.0,0.01,0.05,74.0,M,0
Rock Band Track Pack: Classic Rock,X360,2009,Misc,0.07,0.0,0.0,0.01,0.07,70.0,T,0
Pool Hall Pro,Wii,2009,Sports,0.04,0.0,0.0,0.0,0.05,62.0,E,0
Guitar Hero 5,PS2,2009,Misc,0.28,0.3,0.0,0.54,1.12,71.0,T,1
Armored Core 3 Portable,PSP,2009,Simulation,0.0,0.0,0.08,0.0,0.08,43.0,T,0
Real Heroes: Firefighter,Wii,2009,Action,0.56,0.04,0.0,0.05,0.64,67.0,E10+,0
Tom Clancy's HAWX,X360,2009,Action,0.31,0.19,0.02,0.06,0.58,73.0,T,0
Undead Knights,PSP,2009,Action,0.05,0.0,0.06,0.01,0.12,63.0,M,0
WarioWare D.I.Y.,DS,2009,Misc,0.17,0.18,0.2,0.04,0.59,82.0,E,0
Night at the Museum: Battle of the Smithsonian,Wii,2009,Action,0.17,0.13,0.0,0.03,0.33,54.0,E10+,0
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,0.48,0.48,0.01,0.2,1.17,81.0,T,1
MLB 09: The Show,PS2,2009,Sports,0.16,0.13,0.0,0.04,0.33,79.0,E,0
Virtua Tennis 2009,X360,2009,Sports,0.12,0.18,0.0,0.03,0.33,70.0,E,0
Divinity II: Ego Draconis,PC,2009,Role-Playing,0.01,0.05,0.0,0.01,0.07,72.0,M,0
The Lord of the Rings: Conquest,X360,2009,Action,0.37,0.2,0.0,0.06,0.63,55.0,T,0
Overlord: Minions,DS,2009,Puzzle,0.07,0.0,0.0,0.01,0.07,58.0,E10+,0
Bookworm,DS,2009,Puzzle,0.3,0.01,0.0,0.02,0.33,80.0,E,0
Ninja Blade,X360,2009,Action,0.14,0.14,0.02,0.03,0.33,68.0,M,0
Roogoo Attack!,DS,2009,Puzzle,0.07,0.0,0.0,0.0,0.07,68.0,E,0
FIFA Soccer 10,PSP,2009,Sports,0.15,0.67,0.01,0.31,1.15,83.0,E,1
Atelier Annie: Alchemists of Sera Island,DS,2009,Role-Playing,0.08,0.0,0.03,0.01,0.12,70.0,E10+,0
NCAA Basketball 10,PS3,2009,Sports,0.31,0.0,0.0,0.03,0.33,75.0,E,0
SingStar Queen,PS2,2009,Misc,0.08,0.12,0.0,0.44,0.63,73.0,T,0
Tom Clancy's HAWX,PC,2009,Action,0.0,0.03,0.0,0.01,0.04,70.0,T,0
Hearts of Iron III,PC,2009,Strategy,0.02,0.04,0.0,0.01,0.07,77.0,E10+,0
DiRT 2,DS,2009,Racing,0.06,0.04,0.0,0.01,0.12,73.0,E,0
EA Sports Active: More Workouts,Wii,2009,Sports,0.76,0.27,0.0,0.1,1.13,80.0,E,1
Guitar Hero: Smash Hits,Wii,2009,Misc,0.31,0.21,0.0,0.06,0.58,74.0,T,0
Pinball Hall of Fame: The Williams Collection,X360,2009,Misc,0.11,0.0,0.0,0.01,0.12,83.0,E10+,0
Academy of Champions: Soccer,Wii,2009,Sports,0.09,0.02,0.0,0.01,0.12,64.0,E,0
Metroid Prime: Trilogy,Wii,2009,Shooter,0.42,0.05,0.0,0.14,0.61,91.0,T,0
Wolfenstein,X360,2009,Shooter,0.28,0.22,0.0,0.06,0.56,72.0,M,0
The Godfather II,X360,2009,Action,0.47,0.23,0.01,0.08,0.79,65.0,M,0
Don King Boxing,DS,2009,Sports,0.06,0.01,0.0,0.01,0.08,71.0,T,0
Tornado Outbreak,PS3,2009,Action,0.08,0.0,0.0,0.01,0.09,69.0,E10+,0
Food Network: Cook or Be Cooked,Wii,2009,Misc,0.41,0.0,0.0,0.03,0.44,53.0,E,0
Ben 10 Alien Force: Vilgax Attacks,Wii,2009,Action,0.25,0.14,0.0,0.04,0.44,65.0,E10+,0
Samurai Warriors 3,Wii,2009,Action,0.09,0.02,0.32,0.01,0.44,55.0,T,0
Phantasy Star Portable 2,PSP,2009,Role-Playing,0.08,0.11,0.62,0.06,0.87,69.0,T,0
Deca Sports DS,DS,2009,Sports,0.07,0.02,0.0,0.01,0.1,57.0,E,0
Drawn to Life: The Next Chapter,Wii,2009,Puzzle,0.28,0.39,0.0,0.08,0.75,58.0,E,0
Red Faction: Guerrilla,X360,2009,Shooter,0.48,0.29,0.01,0.09,0.87,85.0,M,0
Rolling Stone: Drum King,Wii,2009,Misc,0.09,0.0,0.0,0.01,0.1,32.0,T,0
G-Force,Wii,2009,Action,0.19,0.2,0.0,0.05,0.44,69.0,E10+,0
F1 2009,Wii,2009,Racing,0.15,0.62,0.0,0.11,0.87,69.0,E,0
Dance Dance Revolution: Hottest Party 3,Wii,2009,Simulation,0.26,0.14,0.0,0.04,0.44,66.0,E10+,0
Fast Food Panic,Wii,2009,Simulation,0.06,0.0,0.0,0.0,0.06,57.0,E,0
Wizards of Waverly Place,DS,2009,Misc,0.59,0.2,0.0,0.08,0.86,58.0,E,0
Ghostbusters: The Video Game,Wii,2009,Action,0.59,0.2,0.0,0.07,0.86,76.0,E10+,0
Endless Ocean: Blue World,Wii,2009,Simulation,0.46,0.21,0.12,0.06,0.86,76.0,E10+,0
Harry Potter and the Half-Blood Prince,Wii,2009,Action,0.28,0.39,0.0,0.08,0.75,60.0,E10+,0
The BIGS 2,PSP,2009,Sports,0.09,0.0,0.0,0.01,0.1,67.0,E10+,0
Ninja Gaiden Sigma 2,PS3,2009,Action,0.52,0.16,0.08,0.1,0.85,83.0,M,0
Mimana Iyar Chronicle,PSP,2009,Role-Playing,0.07,0.0,0.01,0.01,0.09,45.0,T,0
Shadow of Destiny,PSP,2009,Adventure,0.08,0.0,0.0,0.01,0.09,54.0,T,0
The House of the Dead: Overkill,Wii,2009,Shooter,0.44,0.3,0.02,0.09,0.85,78.0,M,0
Leisure Suit Larry: Box Office Bust,PS3,2009,Adventure,0.06,0.03,0.0,0.01,0.1,17.0,M,0
Monsters vs. Aliens,DS,2009,Action,0.33,0.13,0.0,0.05,0.5,47.0,E,0
The Saboteur,X360,2009,Action,0.26,0.2,0.0,0.05,0.51,73.0,M,0
Karaoke Revolution,Wii,2009,Misc,0.24,0.15,0.0,0.04,0.44,63.0,T,0
NASCAR Kart Racing,Wii,2009,Racing,0.39,0.0,0.0,0.03,0.42,70.0,E,0
Resistance: Retribution,PSP,2009,Shooter,0.27,0.35,0.05,0.21,0.89,81.0,M,0
Coraline,Wii,2009,Action,0.05,0.0,0.0,0.0,0.05,42.0,E10+,0
Miami Law,DS,2009,Adventure,0.09,0.0,0.0,0.01,0.1,56.0,T,0
Pro Evolution Soccer 2010,Wii,2009,Sports,0.12,0.27,0.06,0.05,0.51,82.0,E,0
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,0.47,0.29,0.0,0.13,0.89,70.0,E10+,0
TouchMaster 3,DS,2009,Puzzle,0.29,0.11,0.0,0.04,0.43,68.0,E,0
Damnation,PS3,2009,Shooter,0.07,0.01,0.0,0.01,0.09,36.0,M,0
Ghostbusters: The Video Game,PS2,2009,Action,0.15,0.04,0.0,0.24,0.43,64.0,E10+,0
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,0.44,0.03,0.0,0.04,0.51,74.0,T,0
History Great Empires: Rome,DS,2009,Strategy,0.05,0.0,0.0,0.0,0.05,42.0,E10+,0
Call of Duty: Modern Warfare 2,PC,2009,Shooter,0.01,0.79,0.0,0.09,0.88,86.0,M,0
Karaoke Revolution,PS3,2009,Misc,0.07,0.02,0.0,0.01,0.1,66.0,T,0
Dragon Age: Origins,PC,2009,Role-Playing,0.0,0.46,0.0,0.05,0.51,91.0,M,0
Call of Juarez: Bound in Blood,PS3,2009,Shooter,0.35,0.37,0.01,0.15,0.88,78.0,M,0
The Whispered World,PC,2009,Adventure,0.0,0.08,0.0,0.02,0.1,70.0,E,0
Agatha Christie: The ABC Murders,DS,2009,Adventure,0.08,0.01,0.0,0.01,0.1,53.0,T,0
Mirror's Edge,PC,2009,Platform,0.0,0.05,0.0,0.01,0.06,81.0,T,0
SoulCalibur: Broken Destiny,PSP,2009,Fighting,0.12,0.2,0.07,0.12,0.51,80.0,T,0
Dragon Ball: Raging Blast,X360,2009,Fighting,0.36,0.08,0.02,0.04,0.51,56.0,T,0
Star Wars The Clone Wars: Republic Heroes,PS3,2009,Action,0.19,0.18,0.0,0.07,0.43,43.0,T,0
